number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
104,0.0,2025-03-18 12:13:09.950573,2025-03-18 12:13:35.553570,0 days 00:00:25.602997,80,Chi2,SGD,SMOTE,,COMPLETE
105,0.7957744563837146,2025-03-18 12:13:18.238415,2025-03-18 12:13:59.997843,0 days 00:00:41.759428,80,,RF,SVMSMOTE,MinMax,COMPLETE
106,0.7671867547082659,2025-03-18 12:13:19.014977,2025-03-18 12:14:19.032863,0 days 00:01:00.017886,30,RFE,SGD,SMOTE,MinMax,COMPLETE
107,0.7722313789057631,2025-03-18 12:13:19.564430,2025-03-18 12:14:04.729046,0 days 00:00:45.164616,80,,KNN,SVMSMOTE,MinMax,COMPLETE
108,0.7955182957457524,2025-03-18 12:13:22.502389,2025-03-18 12:14:06.982699,0 days 00:00:44.480310,80,,KNN,SVMSMOTE,MinMax,COMPLETE
109,0.7818270508431894,2025-03-18 12:13:25.127139,2025-03-18 12:14:12.952573,0 days 00:00:47.825434,30,RFE,SGD,SMOTE,MinMax,COMPLETE
110,0.8171074819179391,2025-03-18 12:13:25.692734,2025-03-18 12:14:09.527069,0 days 00:00:43.834335,30,,SGD,SMOTE,MinMax,COMPLETE
111,0.34369747899170267,2025-03-18 12:13:26.116838,2025-03-18 12:14:04.241957,0 days 00:00:38.125119,90,RFE,SGD,SMOTE,Normalizer,COMPLETE
112,0.0,2025-03-18 12:13:27.153147,2025-03-18 12:14:21.797075,0 days 00:00:54.643928,100,Chi2,SGD,SMOTE,MinMax,COMPLETE
113,0.34369747899170267,2025-03-18 12:13:31.360153,2025-03-18 12:14:05.861374,0 days 00:00:34.501221,30,,SGD,SMOTE,Normalizer,COMPLETE
114,0.7535572506465336,2025-03-18 12:13:31.815909,2025-03-18 12:14:06.621140,0 days 00:00:34.805231,80,,RF,SVMSMOTE,Normalizer,COMPLETE
115,0.753812912921277,2025-03-18 12:13:33.119686,2025-03-18 12:14:04.116375,0 days 00:00:30.996689,90,RFE,SGD,SMOTE,MinMax,COMPLETE
116,0.7101144775524977,2025-03-18 12:13:33.370629,2025-03-18 12:14:23.996279,0 days 00:00:50.625650,30,Chi2,SGD,SMOTE,MinMax,COMPLETE
117,0.7438536404449467,2025-03-18 12:13:33.889568,2025-03-18 12:14:29.841326,0 days 00:00:55.951758,30,RFE,SGD,SMOTE,MinMax,COMPLETE
118,0.8146959356991819,2025-03-18 12:13:35.004195,2025-03-18 12:14:25.128833,0 days 00:00:50.124638,30,Chi2,SGD,SMOTE,MinMax,COMPLETE
119,0.7744422200564941,2025-03-18 12:13:36.634041,2025-03-18 12:14:21.153326,0 days 00:00:44.519285,30,MI,SGD,SMOTE,QT,COMPLETE
120,0.0,2025-03-18 12:13:36.838295,2025-03-18 12:14:06.464404,0 days 00:00:29.626109,30,Chi2,SGD,SMOTE,Normalizer,COMPLETE
121,0.749352209341694,2025-03-18 12:13:39.036987,2025-03-18 12:14:31.742249,0 days 00:00:52.705262,30,Chi2,SGD,SMOTE,MinMax,COMPLETE
122,0.0,2025-03-18 12:13:39.460856,2025-03-18 12:14:22.425087,0 days 00:00:42.964231,100,LDA,SGD,SMOTE,QT,COMPLETE
123,0.0,2025-03-18 12:13:39.896004,2025-03-18 12:14:18.357285,0 days 00:00:38.461281,100,MI,SGD,SMOTE,MaxAbs,COMPLETE
124,0.0,2025-03-18 12:13:40.639875,2025-03-18 12:14:15.498193,0 days 00:00:34.858318,100,MI,SGD,SMOTE,MaxAbs,COMPLETE
125,0.6880767401303409,2025-03-18 12:13:41.237398,2025-03-18 12:15:23.124921,0 days 00:01:41.887523,80,RFE,MLP,,,COMPLETE
126,0.7744496811429763,2025-03-18 12:13:43.749525,2025-03-18 12:14:21.530620,0 days 00:00:37.781095,30,MI,SGD,SMOTE,QT,COMPLETE
127,0.0,2025-03-18 12:13:44.267387,2025-03-18 12:14:31.732682,0 days 00:00:47.465295,30,LDA,SGD,SMOTE,MaxAbs,COMPLETE
128,0.6666251253151467,2025-03-18 12:13:48.862364,2025-03-18 12:14:34.569043,0 days 00:00:45.706679,30,MI,SGD,SMOTE,MinMax,COMPLETE
129,0.0,2025-03-18 12:13:49.474839,2025-03-18 12:14:22.660639,0 days 00:00:33.185800,100,LDA,SGD,SMOTE,QT,COMPLETE
130,0.0,2025-03-18 12:13:50.923550,2025-03-18 12:14:32.401828,0 days 00:00:41.478278,10,LDA,SGD,ADASYN,MaxAbs,COMPLETE
131,0.0,2025-03-18 12:13:52.790466,2025-03-18 12:14:52.722775,0 days 00:00:59.932309,50,RF,AB,,MaxAbs,COMPLETE
132,0.7399128938721315,2025-03-18 12:13:54.833461,2025-03-18 12:14:22.660639,0 days 00:00:27.827178,30,MI,SGD,SMOTE,QT,COMPLETE
133,0.7697829333419474,2025-03-18 12:13:56.559313,2025-03-18 12:14:28.757381,0 days 00:00:32.198068,30,MI,SGD,SMOTE,MaxAbs,COMPLETE
134,0.0,2025-03-18 12:13:57.783815,2025-03-18 12:14:23.980692,0 days 00:00:26.196877,100,MI,SGD,SMOTE,QT,COMPLETE
135,0.0,2025-03-18 12:13:59.809234,2025-03-18 12:14:20.525149,0 days 00:00:20.715915,100,MI,SGD,SMOTE,MaxAbs,COMPLETE
136,0.0,2025-03-18 12:14:00.549714,2025-03-18 12:14:39.759998,0 days 00:00:39.210284,50,RF,ETs,SMOTE,MaxAbs,COMPLETE
137,0.8188459704179237,2025-03-18 12:14:02.135703,2025-03-18 12:15:01.845034,0 days 00:00:59.709331,50,,AB,SMOTE,MaxAbs,COMPLETE
138,0.0,2025-03-18 12:14:02.654585,2025-03-18 12:14:37.717664,0 days 00:00:35.063079,50,RF,AB,SMOTE,MaxAbs,COMPLETE
139,0.7861953776238784,2025-03-18 12:14:02.811457,2025-03-18 12:15:04.206616,0 days 00:01:01.395159,50,,AB,,MaxAbs,COMPLETE
140,0.0,2025-03-18 12:14:03.063256,2025-03-18 12:14:34.066459,0 days 00:00:31.003203,10,LDA,SGD,ADASYN,MaxAbs,COMPLETE
141,0.0,2025-03-18 12:14:03.204503,2025-03-18 12:14:23.352228,0 days 00:00:20.147725,30,LDA,SGD,SMOTE,QT,COMPLETE
142,0.0,2025-03-18 12:14:04.256523,2025-03-18 12:14:39.753440,0 days 00:00:35.496917,50,RF,AB,SMOTE,MaxAbs,COMPLETE
143,0.0,2025-03-18 12:14:04.524808,2025-03-18 12:14:24.531750,0 days 00:00:20.006942,30,LDA,SGD,SMOTE,QT,COMPLETE
144,0.0,2025-03-18 12:14:05.294488,2025-03-18 12:14:52.722775,0 days 00:00:47.428287,10,RF,AB,ADASYN,MaxAbs,COMPLETE
145,0.0,2025-03-18 12:14:05.867405,2025-03-18 12:14:35.150243,0 days 00:00:29.282838,30,LDA,SGD,SMOTE,QT,COMPLETE
146,0.0,2025-03-18 12:14:06.162368,2025-03-18 12:14:27.044600,0 days 00:00:20.882232,10,LDA,SGD,ADASYN,QT,COMPLETE
147,0.0,2025-03-18 12:14:06.363076,2025-03-18 12:14:37.230140,0 days 00:00:30.867064,10,Chi2,SGD,ADASYN,MaxAbs,COMPLETE
148,0.0,2025-03-18 12:14:06.715467,2025-03-18 12:14:39.241276,0 days 00:00:32.525809,50,RF,ETs,SMOTE,MaxAbs,COMPLETE
149,0.0,2025-03-18 12:14:06.864216,2025-03-18 12:15:02.123293,0 days 00:00:55.259077,50,RF,AB,,MaxAbs,COMPLETE
150,0.6880767401303409,2025-03-18 12:14:09.322931,2025-03-18 12:15:12.575368,0 days 00:01:03.252437,70,RFE,MLP,,,COMPLETE
151,0.0,2025-03-18 12:14:11.443366,2025-03-18 12:14:35.056030,0 days 00:00:23.612664,10,RF,SGD,SMOTE,MaxAbs,COMPLETE
152,0.0,2025-03-18 12:14:11.553277,2025-03-18 12:14:35.322620,0 days 00:00:23.769343,10,Chi2,AB,ADASYN,MaxAbs,COMPLETE
153,0.7722736782191457,2025-03-18 12:14:13.204110,2025-03-18 12:15:04.913351,0 days 00:00:51.709241,50,RFE,ETs,,MaxAbs,COMPLETE
154,0.7583027765638384,2025-03-18 12:14:16.220824,2025-03-18 12:15:07.091766,0 days 00:00:50.870942,50,RFE,ETs,,MaxAbs,COMPLETE
155,0.7449073905134336,2025-03-18 12:14:16.377664,2025-03-18 12:15:02.583292,0 days 00:00:46.205628,50,RFE,ETs,,MaxAbs,COMPLETE
156,0.7823712860610359,2025-03-18 12:14:17.586630,2025-03-18 12:15:14.745658,0 days 00:00:57.159028,50,RFE,ETs,,,COMPLETE
157,0.34369747899170267,2025-03-18 12:14:18.357285,2025-03-18 12:15:16.127164,0 days 00:00:57.769879,70,RFE,MLP,,,COMPLETE
158,0.0,2025-03-18 12:14:18.718923,2025-03-18 12:15:07.390203,0 days 00:00:48.671280,50,RF,ETs,,MaxAbs,COMPLETE
159,0.7707944377577658,2025-03-18 12:14:18.859993,2025-03-18 12:15:14.557530,0 days 00:00:55.697537,70,RFE,MLP,,MaxAbs,COMPLETE
160,0.7636029854255255,2025-03-18 12:14:20.760638,2025-03-18 12:15:27.758842,0 days 00:01:06.998204,70,RFE,MLP,,MaxAbs,COMPLETE
161,0.7768596868027627,2025-03-18 12:14:20.917844,2025-03-18 12:15:09.636254,0 days 00:00:48.718410,70,RFE,RF,,,COMPLETE
162,0.7780864583348404,2025-03-18 12:14:21.326358,2025-03-18 12:15:22.387396,0 days 00:01:01.061038,70,RFE,MLP,,MaxAbs,COMPLETE
163,0.7939120230389843,2025-03-18 12:14:21.530620,2025-03-18 12:15:50.259999,0 days 00:01:28.729379,80,PCA,RF,SMOTE,MaxAbs,COMPLETE
164,0.7811841858330595,2025-03-18 12:14:23.619714,2025-03-18 12:15:31.718510,0 days 00:01:08.098796,80,,RF,SMOTE,MaxAbs,COMPLETE
165,0.7800031619834148,2025-03-18 12:14:23.760936,2025-03-18 12:15:34.285734,0 days 00:01:10.524798,80,PCA,RF,SMOTE,MaxAbs,COMPLETE
166,0.6880767401303409,2025-03-18 12:14:25.647108,2025-03-18 12:15:41.560289,0 days 00:01:15.913181,80,RFE,MLP,,,COMPLETE
