number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
116,0.7459939192976857,2025-03-18 11:57:54.630911,2025-03-18 11:58:47.930910,0 days 00:00:53.299999,40,,DT,SVMSMOTE,QT,COMPLETE
117,0.7474090425701818,2025-03-18 11:57:56.446921,2025-03-18 11:58:31.620917,0 days 00:00:35.173996,10,,AB,SVMSMOTE,Robust,COMPLETE
118,0.7474090425701818,2025-03-18 11:58:00.022176,2025-03-18 11:58:45.130136,0 days 00:00:45.107960,90,,AB,BorderlineSMOTE,Robust,COMPLETE
119,0.7746408430277316,2025-03-18 11:58:00.182523,2025-03-18 11:58:32.180842,0 days 00:00:31.998319,40,,AB,SVMSMOTE,Robust,COMPLETE
120,0.7669900743406874,2025-03-18 11:58:00.324154,2025-03-18 11:58:29.081007,0 days 00:00:28.756853,90,,AB,BorderlineSMOTE,Robust,COMPLETE
121,0.0,2025-03-18 11:58:00.866678,2025-03-18 11:58:52.063514,0 days 00:00:51.196836,80,LDA,SGD,SVMSMOTE,QT,COMPLETE
122,0.7617869271701736,2025-03-18 11:58:05.662460,2025-03-18 11:58:40.550838,0 days 00:00:34.888378,40,,DT,SVMSMOTE,Robust,COMPLETE
123,0.7151265246434002,2025-03-18 11:58:06.144196,2025-03-18 11:58:57.171110,0 days 00:00:51.026914,60,,SGD,SVMSMOTE,Robust,COMPLETE
124,0.7411256675012456,2025-03-18 11:58:06.300365,2025-03-18 11:58:48.140327,0 days 00:00:41.839962,40,MI,DT,SVMSMOTE,QT,COMPLETE
125,0.7138828192458411,2025-03-18 11:58:06.789284,2025-03-18 11:58:41.590331,0 days 00:00:34.801047,40,,DT,SVMSMOTE,Robust,COMPLETE
126,0.7067172183508413,2025-03-18 11:58:06.984327,2025-03-18 11:58:44.252695,0 days 00:00:37.268368,40,,DT,SVMSMOTE,Robust,COMPLETE
127,0.7866439772407294,2025-03-18 11:58:07.137325,2025-03-18 11:59:07.700743,0 days 00:01:00.563418,70,,RF,,MinMax,COMPLETE
128,0.7043162812173325,2025-03-18 11:58:07.852287,2025-03-18 11:58:44.670854,0 days 00:00:36.818567,40,,DT,SVMSMOTE,Robust,COMPLETE
129,0.7369188571409789,2025-03-18 11:58:09.795316,2025-03-18 11:59:29.720530,0 days 00:01:19.925214,70,,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
130,0.7412092683310522,2025-03-18 11:58:10.331312,2025-03-18 11:59:20.955624,0 days 00:01:10.624312,50,ANOVA,RF,ADASYN,MaxAbs,COMPLETE
131,0.7746196411248566,2025-03-18 11:58:10.507287,2025-03-18 11:58:55.373947,0 days 00:00:44.866660,40,,RF,SVMSMOTE,Robust,COMPLETE
132,0.7221923966528976,2025-03-18 11:58:12.113653,2025-03-18 11:58:37.066252,0 days 00:00:24.952599,40,,DT,SVMSMOTE,Robust,COMPLETE
133,0.7550524691412344,2025-03-18 11:58:12.312297,2025-03-18 11:59:12.282827,0 days 00:00:59.970530,80,,RF,,MaxAbs,COMPLETE
134,0.0,2025-03-18 11:58:12.733213,2025-03-18 11:59:02.700732,0 days 00:00:49.967519,80,LDA,RF,ADASYN,MinMax,COMPLETE
135,0.6932967259449898,2025-03-18 11:58:13.141218,2025-03-18 11:58:50.859806,0 days 00:00:37.718588,40,MI,DT,SVMSMOTE,QT,COMPLETE
136,0.727703022163994,2025-03-18 11:58:13.525221,2025-03-18 11:58:51.930766,0 days 00:00:38.405545,40,MI,DT,SVMSMOTE,QT,COMPLETE
137,0.742416238620901,2025-03-18 11:58:14.591004,2025-03-18 11:59:08.040815,0 days 00:00:53.449811,80,MI,SGD,ADASYN,QT,COMPLETE
138,0.7239610519496134,2025-03-18 11:58:15.005432,2025-03-18 11:59:16.470771,0 days 00:01:01.465339,50,ANOVA,RF,BorderlineSMOTE,Robust,COMPLETE
139,0.7067172183508413,2025-03-18 11:58:15.370664,2025-03-18 11:58:45.862701,0 days 00:00:30.492037,40,,DT,SVMSMOTE,QT,COMPLETE
140,0.8045454075053374,2025-03-18 11:58:16.529668,2025-03-18 11:58:53.422864,0 days 00:00:36.893196,40,MI,RF,SVMSMOTE,QT,COMPLETE
141,0.0,2025-03-18 11:58:17.187413,2025-03-18 11:59:08.910957,0 days 00:00:51.723544,40,LDA,RF,SVMSMOTE,Robust,COMPLETE
142,0.7172254899287229,2025-03-18 11:58:18.120494,2025-03-18 11:58:57.027349,0 days 00:00:38.906855,40,MI,RF,SVMSMOTE,Robust,COMPLETE
143,0.6881559390558489,2025-03-18 11:58:19.003707,2025-03-18 11:59:07.036669,0 days 00:00:48.032962,60,MI,SGD,ADASYN,QT,COMPLETE
144,0.7273552758935871,2025-03-18 11:58:20.390496,2025-03-18 11:58:54.505230,0 days 00:00:34.114734,40,MI,DT,SVMSMOTE,QT,COMPLETE
145,0.0,2025-03-18 11:58:22.269792,2025-03-18 11:59:01.660877,0 days 00:00:39.391085,80,LDA,SGD,ADASYN,MinMax,COMPLETE
146,0.7341019821015218,2025-03-18 11:58:22.912931,2025-03-18 11:59:02.236762,0 days 00:00:39.323831,40,MI,RF,SVMSMOTE,QT,COMPLETE
147,0.7391025842763737,2025-03-18 11:58:23.180500,2025-03-18 11:59:20.943009,0 days 00:00:57.762509,50,,RF,BorderlineSMOTE,MaxAbs,COMPLETE
148,0.7327247612759769,2025-03-18 11:58:24.845868,2025-03-18 11:59:16.721265,0 days 00:00:51.875397,50,ANOVA,RF,BorderlineSMOTE,MinMax,COMPLETE
149,0.0,2025-03-18 11:58:24.889894,2025-03-18 11:59:02.466517,0 days 00:00:37.576623,70,LDA,RF,,MinMax,COMPLETE
150,0.0,2025-03-18 11:58:30.100679,2025-03-18 11:59:07.511031,0 days 00:00:37.410352,70,LDA,RF,ADASYN,QT,COMPLETE
151,0.7460826974921136,2025-03-18 11:58:30.240869,2025-03-18 11:59:36.020714,0 days 00:01:05.779845,70,,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
152,0.0,2025-03-18 11:58:30.390805,2025-03-18 11:59:00.272613,0 days 00:00:29.881808,80,LDA,MLP,ADASYN,MaxAbs,COMPLETE
153,0.7719201768855013,2025-03-18 11:58:31.840761,2025-03-18 11:59:18.995366,0 days 00:00:47.154605,70,,RF,BorderlineSMOTE,MaxAbs,COMPLETE
154,0.7488846525602317,2025-03-18 11:58:32.471081,2025-03-18 11:59:36.835596,0 days 00:01:04.364515,50,,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
155,0.7036996287611468,2025-03-18 11:58:33.680735,2025-03-18 11:59:36.028716,0 days 00:01:02.347981,50,,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
156,0.7617869271701736,2025-03-18 11:58:34.730636,2025-03-18 11:59:09.156567,0 days 00:00:34.425931,60,ANOVA,RF,ADASYN,Robust,COMPLETE
157,0.7679768122076964,2025-03-18 11:58:37.925870,2025-03-18 11:59:09.160605,0 days 00:00:31.234735,50,,RF,BorderlineSMOTE,MinMax,COMPLETE
158,0.7342072778716734,2025-03-18 11:58:41.460884,2025-03-18 11:59:24.810753,0 days 00:00:43.349869,50,,MLP,BorderlineSMOTE,MaxAbs,COMPLETE
159,0.0,2025-03-18 11:58:42.661087,2025-03-18 11:59:59.200863,0 days 00:01:16.539776,10,RFE,MLP,,Robust,COMPLETE
160,0.7342002015305871,2025-03-18 11:58:47.020603,2025-03-18 11:59:19.954757,0 days 00:00:32.934154,70,,RF,BorderlineSMOTE,MaxAbs,COMPLETE
161,0.7322867537055041,2025-03-18 11:58:48.744720,2025-03-18 11:59:19.551002,0 days 00:00:30.806282,70,,RF,BorderlineSMOTE,MaxAbs,COMPLETE
162,0.7596633041915479,2025-03-18 11:58:49.395753,2025-03-18 11:59:48.515785,0 days 00:00:59.120032,70,,MLP,BorderlineSMOTE,Standard,COMPLETE
