Model,Scaler,FS Tech,FS Ratio,OV Tech,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Macro Average,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Micro Average,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,Weighted Average
AB,Standard,,10,ADASYN,111.0000000001,14.0000000001,65.0000000001,34.0000000001,0.8879999999993792,0.6306818181816697,0.737541528238887,0.6473214285723214,0.7083333333324653,0.7223756216649445,0.8879999999993792,0.6306818181816697,0.737541528238887,0.6473214285711655,0.7083333333324653,0.7223756216647133,[0.21428571 0.78571429],[ 48 176],0.8879999999993792,0.6306818181816697,0.737541528238887,0.6473214285723214,0.7083333333324652,0.7223756216649445
AB,MinMax,,10,ADASYN,128.0000000001,21.0000000001,48.0000000001,27.0000000001,0.8590604026840819,0.727272727272469,0.7876923076919536,0.6919642857151784,0.5624999999997395,0.7256979446726846,0.8590604026840819,0.727272727272469,0.7876923076919536,0.691964285713943,0.5624999999997395,0.7256979446724374,[0.21428571 0.78571429],[ 48 176],0.8590604026840819,0.727272727272469,0.7876923076919536,0.6919642857151784,0.5624999999997395,0.7256979446726846
AB,MinMax,,10,ADASYN,119.0000000001,18.0000000001,57.0000000001,30.0000000001,0.8686131386855933,0.6761363636361635,0.7603833865811369,0.6651785714294643,0.6249999999994792,0.7190622920663674,0.8686131386855933,0.6761363636361635,0.7603833865811369,0.6651785714282764,0.6249999999994792,0.7190622920661298,[0.21428571 0.78571429],[ 48 176],0.8686131386855933,0.6761363636361635,0.7603833865811369,0.6651785714294643,0.6249999999994792,0.7190622920663674
AB,MinMax,PCA,50,BorderlineSMOTE,128.0000000001,29.0000000001,48.0000000001,19.0000000001,0.81528662420342,0.727272727272469,0.7687687687684459,0.6562500000008927,0.39583333333376736,0.672682290715799,0.81528662420342,0.727272727272469,0.7687687687684459,0.656249999999721,0.39583333333376736,0.6726822907155647,[0.21428571 0.78571429],[ 48 176],0.8152866242034199,0.727272727272469,0.7687687687684458,0.6562500000008927,0.39583333333376736,0.672682290715799
AB,Standard,,10,SMOTE,110.0000000001,13.0000000001,66.0000000001,35.0000000001,0.8943089430887897,0.624999999999858,0.7357859531769422,0.6473214285723214,0.7291666666657118,0.7263165983007246,0.8943089430887897,0.624999999999858,0.7357859531769422,0.6473214285711655,0.7291666666657118,0.7263165983004934,[0.21428571 0.78571429],[ 48 176],0.8943089430887896,0.624999999999858,0.7357859531769421,0.6473214285723214,0.7291666666657118,0.7263165983007246
AB,Standard,,10,SMOTE,112.0000000001,24.0000000001,64.0000000001,24.0000000001,0.8235294117642301,0.6363636363634814,0.7179487179484384,0.60714285714375,0.5,0.6569969246439801,0.8235294117642301,0.6363636363634814,0.7179487179484384,0.6071428571426658,0.5,0.6569969246437631,[0.21428571 0.78571429],[ 48 176],0.8235294117642301,0.6363636363634814,0.7179487179484384,0.60714285714375,0.5,0.6569969246439801
AB,Standard,,10,SMOTE,125.0000000001,26.0000000001,51.0000000001,22.0000000001,0.8278145695359896,0.7102272727270338,0.7645259938834683,0.6562500000008928,0.45833333333350695,0.6834302338961784,0.8278145695359896,0.7102272727270338,0.7645259938834683,0.656249999999721,0.45833333333350695,0.683430233895944,[0.21428571 0.78571429],[ 48 176],0.8278145695359896,0.7102272727270338,0.7645259938834683,0.6562500000008928,0.4583333333335069,0.6834302338961784
AB,Standard,,10,SMOTE,114.0000000001,15.0000000001,62.0000000001,33.0000000001,0.8837209302319632,0.6477272727271048,0.7475409836062328,0.6562500000008928,0.6874999999992187,0.7245478373130825,0.8837209302319632,0.6477272727271048,0.7475409836062328,0.656249999999721,0.6874999999992187,0.7245478373128481,[0.21428571 0.78571429],[ 48 176],0.8837209302319631,0.6477272727271048,0.7475409836062327,0.6562500000008928,0.6874999999992187,0.7245478373130825
AB,Standard,,10,SMOTE,123.0000000001,19.0000000001,53.0000000001,29.0000000001,0.8661971830980758,0.6988636363634104,0.7735849056600332,0.6785714285723214,0.6041666666662326,0.7242767640720147,0.8661971830980758,0.6988636363634104,0.7735849056600332,0.6785714285711096,0.6041666666662326,0.7242767640717723,[0.21428571 0.78571429],[ 48 176],0.8661971830980758,0.6988636363634103,0.7735849056600331,0.6785714285723214,0.6041666666662326,0.7242767640720147
AB,Standard,,10,SMOTE,127.0000000001,24.0000000001,49.0000000001,24.0000000001,0.8410596026485548,0.7215909090906573,0.7767584097855942,0.6741071428580357,0.5,0.7027032128765685,0.8410596026485548,0.7215909090906573,0.7767584097855942,0.6741071428568319,0.5,0.7027032128763276,[0.21428571 0.78571429],[ 48 176],0.8410596026485548,0.7215909090906573,0.7767584097855942,0.6741071428580357,0.5,0.7027032128765685
