number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
103,0.34285714285724567,2025-03-18 11:40:02.697663,2025-03-18 11:40:30.283417,0 days 00:00:27.585754,30,MI,SGD,SMOTE,Normalizer,COMPLETE
104,0.6902857142860689,2025-03-18 11:40:03.727974,2025-03-18 11:40:39.271145,0 days 00:00:35.543171,90,ANOVA,RF,,Normalizer,COMPLETE
105,0.6902857142860689,2025-03-18 11:40:05.092685,2025-03-18 11:40:39.897758,0 days 00:00:34.805073,90,RFE,SGD,,QT,COMPLETE
106,0.6591142298560929,2025-03-18 11:40:06.240333,2025-03-18 11:40:48.300557,0 days 00:00:42.060224,90,ANOVA,AB,ADASYN,MinMax,COMPLETE
107,0.733210457900547,2025-03-18 11:40:07.717210,2025-03-18 11:40:45.756599,0 days 00:00:38.039389,90,ANOVA,AB,ADASYN,MinMax,COMPLETE
108,0.735359740371371,2025-03-18 11:40:09.116209,2025-03-18 11:40:50.197917,0 days 00:00:41.081708,90,ANOVA,AB,ADASYN,MinMax,COMPLETE
109,0.735359740371371,2025-03-18 11:40:10.670564,2025-03-18 11:41:36.327158,0 days 00:01:25.656594,90,ANOVA,AB,ADASYN,Robust,COMPLETE
110,0.7271282432426411,2025-03-18 11:40:17.526017,2025-03-18 11:40:43.376867,0 days 00:00:25.850850,90,ANOVA,AB,ADASYN,MinMax,COMPLETE
111,0.6810039685730741,2025-03-18 11:40:17.824442,2025-03-18 11:40:49.108259,0 days 00:00:31.283817,90,ANOVA,AB,ADASYN,MinMax,COMPLETE
112,0.7336038961036965,2025-03-18 11:40:18.752219,2025-03-18 11:40:53.804338,0 days 00:00:35.052119,90,ANOVA,AB,ADASYN,MinMax,COMPLETE
113,0.747111367112811,2025-03-18 11:40:19.868434,2025-03-18 11:41:13.193681,0 days 00:00:53.325247,90,ANOVA,AB,ADASYN,MinMax,COMPLETE
114,0.6722873804489111,2025-03-18 11:40:20.135509,2025-03-18 11:40:52.424015,0 days 00:00:32.288506,50,ANOVA,AB,BorderlineSMOTE,MinMax,COMPLETE
115,0.0,2025-03-18 11:40:20.261093,2025-03-18 11:40:57.365241,0 days 00:00:37.104148,40,RF,AB,ADASYN,MinMax,COMPLETE
116,0.6535421728851804,2025-03-18 11:40:20.434062,2025-03-18 11:40:54.649445,0 days 00:00:34.215383,20,ANOVA,AB,ADASYN,MinMax,COMPLETE
117,0.599388515036247,2025-03-18 11:40:21.623533,2025-03-18 11:41:13.853409,0 days 00:00:52.229876,20,PCA,AB,ADASYN,MinMax,COMPLETE
118,0.6779025712848412,2025-03-18 11:40:21.994360,2025-03-18 11:41:09.903248,0 days 00:00:47.908888,40,ANOVA,AB,ADASYN,MinMax,COMPLETE
119,0.5840205733050476,2025-03-18 11:40:23.757538,2025-03-18 11:40:55.120805,0 days 00:00:31.363267,40,ANOVA,AB,ADASYN,MinMax,COMPLETE
120,0.7433594878222796,2025-03-18 11:40:25.893721,2025-03-18 11:40:51.418094,0 days 00:00:25.524373,90,ANOVA,AB,ADASYN,MinMax,COMPLETE
121,0.743171364239615,2025-03-18 11:40:26.238911,2025-03-18 11:41:28.825965,0 days 00:01:02.587054,90,ANOVA,AB,,QT,COMPLETE
122,0.0,2025-03-18 11:40:26.836799,2025-03-18 11:41:03.430118,0 days 00:00:36.593319,80,RF,AB,ADASYN,MinMax,COMPLETE
123,0.7399675324673818,2025-03-18 11:40:27.661422,2025-03-18 11:41:22.868883,0 days 00:00:55.207461,90,ANOVA,AB,ADASYN,Robust,COMPLETE
124,0.6485839929605689,2025-03-18 11:40:27.802048,2025-03-18 11:41:00.303282,0 days 00:00:32.501234,40,PCA,AB,ADASYN,MinMax,COMPLETE
125,0.5951899385721401,2025-03-18 11:40:28.242140,2025-03-18 11:40:52.842354,0 days 00:00:24.600214,20,PCA,AB,ADASYN,MinMax,COMPLETE
126,0.6371442265087203,2025-03-18 11:40:28.587481,2025-03-18 11:41:04.215702,0 days 00:00:35.628221,40,ANOVA,AB,ADASYN,MinMax,COMPLETE
127,0.6626699048485003,2025-03-18 11:40:29.529712,2025-03-18 11:41:04.689891,0 days 00:00:35.160179,40,ANOVA,AB,ADASYN,MinMax,COMPLETE
128,0.6202339181284751,2025-03-18 11:40:30.141699,2025-03-18 11:41:05.712974,0 days 00:00:35.571275,40,ANOVA,AB,ADASYN,MinMax,COMPLETE
129,0.6840432819366977,2025-03-18 11:40:32.652636,2025-03-18 11:41:23.578481,0 days 00:00:50.925845,90,ANOVA,RF,ADASYN,QT,COMPLETE
130,0.7004329004330009,2025-03-18 11:40:34.016733,2025-03-18 11:41:14.714866,0 days 00:00:40.698133,80,ANOVA,RF,ADASYN,Robust,COMPLETE
131,0.0,2025-03-18 11:40:34.644919,2025-03-18 11:41:15.750772,0 days 00:00:41.105853,80,RF,AB,ADASYN,Robust,COMPLETE
132,0.7493074403748653,2025-03-18 11:40:34.833462,2025-03-18 11:41:23.578481,0 days 00:00:48.745019,90,ANOVA,RF,ADASYN,Robust,COMPLETE
133,0.7160452292803852,2025-03-18 11:40:35.053385,2025-03-18 11:41:33.591040,0 days 00:00:58.537655,90,ANOVA,AB,BorderlineSMOTE,Robust,COMPLETE
134,0.7256360953861337,2025-03-18 11:40:36.268233,2025-03-18 11:41:31.250932,0 days 00:00:54.982699,90,ANOVA,RF,ADASYN,Robust,COMPLETE
135,0.7264729637048375,2025-03-18 11:40:36.425017,2025-03-18 11:41:39.512090,0 days 00:01:03.087073,90,ANOVA,AB,ADASYN,QT,COMPLETE
136,0.7104647672127433,2025-03-18 11:40:40.023340,2025-03-18 11:41:13.020700,0 days 00:00:32.997360,80,ANOVA,RF,ADASYN,MinMax,COMPLETE
137,0.7337719614384101,2025-03-18 11:40:43.220129,2025-03-18 11:41:18.796827,0 days 00:00:35.576698,80,ANOVA,AB,ADASYN,Robust,COMPLETE
138,0.7059581413210779,2025-03-18 11:40:43.393012,2025-03-18 11:41:25.176926,0 days 00:00:41.783914,90,ANOVA,RF,ADASYN,Robust,COMPLETE
139,0.0,2025-03-18 11:40:44.907110,2025-03-18 11:41:22.606777,0 days 00:00:37.699667,90,LDA,AB,BorderlineSMOTE,QT,COMPLETE
140,0.7191558441559022,2025-03-18 11:40:47.202546,2025-03-18 11:41:22.606777,0 days 00:00:35.404231,80,ANOVA,RF,ADASYN,QT,COMPLETE
141,0.6929132954605699,2025-03-18 11:40:47.406806,2025-03-18 11:41:22.465320,0 days 00:00:35.058514,90,ANOVA,RF,ADASYN,Robust,COMPLETE
142,0.7101176811402025,2025-03-18 11:40:47.799332,2025-03-18 11:41:36.342780,0 days 00:00:48.543448,80,ANOVA,AB,ADASYN,Robust,COMPLETE
143,0.6922966464568854,2025-03-18 11:40:47.939058,2025-03-18 11:41:37.101409,0 days 00:00:49.162351,90,ANOVA,AB,ADASYN,Robust,COMPLETE
144,0.6799263849306778,2025-03-18 11:40:51.251210,2025-03-18 11:41:20.601724,0 days 00:00:29.350514,90,ANOVA,RF,ADASYN,QT,COMPLETE
145,0.691976946722594,2025-03-18 11:40:53.769061,2025-03-18 11:41:30.402375,0 days 00:00:36.633314,90,ANOVA,AB,BorderlineSMOTE,QT,COMPLETE
146,0.7614149008886829,2025-03-18 11:40:53.046635,2025-03-18 11:41:51.526515,0 days 00:00:58.479880,90,ANOVA,AB,,Robust,COMPLETE
147,0.6902857142860689,2025-03-18 11:40:54.271539,2025-03-18 11:41:51.934953,0 days 00:00:57.663414,30,MI,SGD,,Robust,COMPLETE
148,0.639498611657659,2025-03-18 11:40:54.869196,2025-03-18 11:41:31.481482,0 days 00:00:36.612286,90,ANOVA,AB,BorderlineSMOTE,Robust,COMPLETE
149,0.7542915417916749,2025-03-18 11:40:56.580529,2025-03-18 11:42:21.763043,0 days 00:01:25.182514,90,ANOVA,AB,,Robust,COMPLETE
