number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
73,0.7329956230887913,2025-03-18 12:25:23.016534,2025-03-18 12:26:53.494212,0 days 00:01:30.477678,60,PCA,DT,ADASYN,,COMPLETE
74,0.7671164008259714,2025-03-18 12:25:23.173840,2025-03-18 12:25:58.243136,0 days 00:00:35.069296,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
75,0.7902748414374892,2025-03-18 12:25:23.314514,2025-03-18 12:26:10.132794,0 days 00:00:46.818280,40,ANOVA,ETs,BorderlineSMOTE,Standard,COMPLETE
76,0.7903158623258622,2025-03-18 12:25:23.613072,2025-03-18 12:25:44.701791,0 days 00:00:21.088719,40,,ETs,SMOTE,Standard,COMPLETE
77,0.8034090909089577,2025-03-18 12:25:23.817302,2025-03-18 12:26:14.331169,0 days 00:00:50.513867,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
78,0.8006057183555868,2025-03-18 12:25:23.990306,2025-03-18 12:26:00.426013,0 days 00:00:36.435707,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
79,0.7072974550794182,2025-03-18 12:25:24.131500,2025-03-18 12:26:27.913847,0 days 00:01:03.782347,60,,DT,SMOTE,Standard,COMPLETE
80,0.7968772426325257,2025-03-18 12:25:24.304508,2025-03-18 12:25:50.132988,0 days 00:00:25.828480,40,,ETs,SMOTE,Standard,COMPLETE
81,0.8052481476075807,2025-03-18 12:25:24.461203,2025-03-18 12:25:52.962761,0 days 00:00:28.501558,40,,ETs,SMOTE,Standard,COMPLETE
82,0.7940924251296104,2025-03-18 12:25:24.602381,2025-03-18 12:25:58.840068,0 days 00:00:34.237687,40,,ETs,SMOTE,Standard,COMPLETE
83,0.8090004295201945,2025-03-18 12:25:24.885283,2025-03-18 12:26:09.991163,0 days 00:00:45.105880,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
84,0.7922081410209119,2025-03-18 12:25:25.042158,2025-03-18 12:25:53.336737,0 days 00:00:28.294579,40,,ETs,SMOTE,Standard,COMPLETE
85,0.7578205539342509,2025-03-18 12:25:25.278059,2025-03-18 12:26:59.953374,0 days 00:01:34.675315,60,RFE,RF,SMOTE,Standard,COMPLETE
86,0.7696540528436417,2025-03-18 12:25:25.544850,2025-03-18 12:26:08.074565,0 days 00:00:42.529715,40,,ETs,BorderlineSMOTE,Standard,COMPLETE
87,0.714596908670671,2025-03-18 12:25:25.686532,2025-03-18 12:26:38.321893,0 days 00:01:12.635361,60,PCA,DT,SMOTE,Standard,COMPLETE
