number,value,datetime_start,datetime_complete,duration,params_FS Ratio,params_FS Tech,params_Model,params_OV Tech,params_Scaler,state
107,0.674881665885896,2025-03-18 11:27:52.161569,2025-03-18 11:28:59.735155,0 days 00:01:07.573586,60,Chi2,DT,,,COMPLETE
108,0.34369747899170267,2025-03-18 11:27:53.821497,2025-03-18 11:28:31.663640,0 days 00:00:37.842143,20,MI,DT,BorderlineSMOTE,Normalizer,COMPLETE
109,0.6880767401303409,2025-03-18 11:27:54.396405,2025-03-18 11:28:26.303526,0 days 00:00:31.907121,20,ANOVA,DT,,Standard,COMPLETE
110,0.6880767401303409,2025-03-18 11:27:54.726533,2025-03-18 11:29:42.721376,0 days 00:01:47.994843,30,RFE,MLP,SVMSMOTE,Robust,COMPLETE
111,0.5557224851167297,2025-03-18 11:27:55.286426,2025-03-18 11:28:36.364918,0 days 00:00:41.078492,20,ANOVA,ETs,BorderlineSMOTE,Standard,COMPLETE
112,0.6880767401303409,2025-03-18 11:27:55.576821,2025-03-18 11:28:41.957038,0 days 00:00:46.380217,20,ANOVA,DT,,Normalizer,COMPLETE
113,0.34369747899170267,2025-03-18 11:27:56.586708,2025-03-18 11:28:48.329738,0 days 00:00:51.743030,20,MI,DT,BorderlineSMOTE,,COMPLETE
114,0.6880767401303409,2025-03-18 11:27:57.133307,2025-03-18 11:29:11.815151,0 days 00:01:14.681844,70,Chi2,SGD,,Normalizer,COMPLETE
115,0.5750888800913921,2025-03-18 11:27:57.511418,2025-03-18 11:29:15.576111,0 days 00:01:18.064693,20,MI,DT,BorderlineSMOTE,,COMPLETE
116,0.6880767401303409,2025-03-18 11:27:58.861648,2025-03-18 11:29:28.669599,0 days 00:01:29.807951,70,RFE,MLP,SVMSMOTE,Robust,COMPLETE
117,0.6880767401303409,2025-03-18 11:27:59.126646,2025-03-18 11:29:20.974635,0 days 00:01:21.847989,70,RFE,SGD,,Normalizer,COMPLETE
118,0.6614774679071612,2025-03-18 11:28:00.841648,2025-03-18 11:28:34.054481,0 days 00:00:33.212833,20,MI,ETs,BorderlineSMOTE,Standard,COMPLETE
119,0.6880767401303409,2025-03-18 11:28:02.389160,2025-03-18 11:28:54.410070,0 days 00:00:52.020910,40,Chi2,DT,,,COMPLETE
120,0.5587719697777056,2025-03-18 11:28:03.357447,2025-03-18 11:28:42.189338,0 days 00:00:38.831891,20,ANOVA,DT,BorderlineSMOTE,,COMPLETE
121,0.6801721209715698,2025-03-18 11:28:04.011656,2025-03-18 11:28:49.473564,0 days 00:00:45.461908,60,ANOVA,DT,,,COMPLETE
122,0.6880767401303409,2025-03-18 11:28:04.511279,2025-03-18 11:29:33.608497,0 days 00:01:29.097218,70,RFE,SGD,,Normalizer,COMPLETE
123,0.6854459578621426,2025-03-18 11:28:04.681501,2025-03-18 11:29:03.919859,0 days 00:00:59.238358,40,Chi2,DT,,,COMPLETE
124,0.34369747899170267,2025-03-18 11:28:05.111596,2025-03-18 11:28:52.649901,0 days 00:00:47.538305,20,MI,DT,BorderlineSMOTE,,COMPLETE
125,0.0,2025-03-18 11:28:05.926044,2025-03-18 11:29:14.465302,0 days 00:01:08.539258,70,Chi2,SGD,,Robust,COMPLETE
126,0.6880767401303409,2025-03-18 11:28:06.181423,2025-03-18 11:29:12.999202,0 days 00:01:06.817779,70,Chi2,SGD,,Normalizer,COMPLETE
127,0.6880767401303409,2025-03-18 11:28:06.484010,2025-03-18 11:29:37.372152,0 days 00:01:30.888142,30,RFE,MLP,SVMSMOTE,Normalizer,COMPLETE
128,0.6880767401303409,2025-03-18 11:28:08.431057,2025-03-18 11:29:19.186047,0 days 00:01:10.754990,40,Chi2,DT,,,COMPLETE
129,0.6854459578621426,2025-03-18 11:28:10.770795,2025-03-18 11:28:47.708604,0 days 00:00:36.937809,20,ANOVA,ETs,,,COMPLETE
130,0.6880767401303409,2025-03-18 11:28:11.864319,2025-03-18 11:29:36.248924,0 days 00:01:24.384605,70,RFE,MLP,,Normalizer,COMPLETE
131,0.0,2025-03-18 11:28:13.070196,2025-03-18 11:28:47.164763,0 days 00:00:34.094567,60,LDA,DT,,,COMPLETE
132,0.0,2025-03-18 11:28:13.154092,2025-03-18 11:29:33.174813,0 days 00:01:20.020721,60,LDA,DT,,,COMPLETE
133,0.6880767401303409,2025-03-18 11:28:14.858702,2025-03-18 11:29:22.475959,0 days 00:01:07.617257,70,,SGD,,Normalizer,COMPLETE
134,0.0,2025-03-18 11:28:21.910770,2025-03-18 11:28:54.407110,0 days 00:00:32.496340,60,LDA,DT,,,COMPLETE
135,0.6880767401303409,2025-03-18 11:28:24.361445,2025-03-18 11:29:29.014803,0 days 00:01:04.653358,70,RFE,MLP,SVMSMOTE,Robust,COMPLETE
136,0.6880767401303409,2025-03-18 11:28:26.128252,2025-03-18 11:29:15.304308,0 days 00:00:49.176056,70,Chi2,RF,,Normalizer,COMPLETE
137,0.0,2025-03-18 11:28:26.923873,2025-03-18 11:29:42.721376,0 days 00:01:15.797503,10,RFE,MLP,SVMSMOTE,Robust,COMPLETE
138,0.34369747899170267,2025-03-18 11:28:27.179185,2025-03-18 11:29:05.929799,0 days 00:00:38.750614,70,Chi2,SGD,,Normalizer,COMPLETE
139,0.6880767401303409,2025-03-18 11:28:28.316768,2025-03-18 11:29:30.863662,0 days 00:01:02.546894,70,RFE,MLP,,Normalizer,COMPLETE
140,0.6880767401303409,2025-03-18 11:28:29.702040,2025-03-18 11:29:31.814335,0 days 00:01:02.112295,70,RFE,SGD,,Normalizer,COMPLETE
141,0.6880767401303409,2025-03-18 11:28:32.754012,2025-03-18 11:29:37.361637,0 days 00:01:04.607625,70,Chi2,SGD,,Normalizer,COMPLETE
142,0.6880767401303409,2025-03-18 11:28:33.283983,2025-03-18 11:29:37.762530,0 days 00:01:04.478547,30,RFE,MLP,SVMSMOTE,Normalizer,COMPLETE
143,0.6880767401303409,2025-03-18 11:28:36.223646,2025-03-18 11:29:50.356853,0 days 00:01:14.133207,30,RFE,MLP,SVMSMOTE,Robust,COMPLETE
144,0.6367075946672476,2025-03-18 11:28:36.870986,2025-03-18 11:29:19.075501,0 days 00:00:42.204515,70,RFE,SGD,SVMSMOTE,Normalizer,COMPLETE
145,0.6864285360390926,2025-03-18 11:28:37.189455,2025-03-18 11:29:18.669993,0 days 00:00:41.480538,70,,RF,SVMSMOTE,Normalizer,COMPLETE
146,0.6638216123054308,2025-03-18 11:28:40.628683,2025-03-18 11:29:41.311723,0 days 00:01:00.683040,70,RFE,MLP,SVMSMOTE,Robust,COMPLETE
147,0.6880767401303409,2025-03-18 11:28:40.916289,2025-03-18 11:29:21.610053,0 days 00:00:40.693764,70,RFE,MLP,,Normalizer,COMPLETE
148,0.5653926141382424,2025-03-18 11:28:42.940513,2025-03-18 11:30:09.061653,0 days 00:01:26.121140,50,PCA,ETs,SMOTE,,COMPLETE
149,0.6880767401303409,2025-03-18 11:28:43.639004,2025-03-18 11:29:49.772174,0 days 00:01:06.133170,30,RFE,MLP,SVMSMOTE,Robust,COMPLETE
150,0.6880767401303409,2025-03-18 11:28:50.047448,2025-03-18 11:29:46.801465,0 days 00:00:56.754017,30,RFE,MLP,SVMSMOTE,Robust,COMPLETE
151,0.0,2025-03-18 11:28:51.631187,2025-03-18 11:29:36.761646,0 days 00:00:45.130459,10,RFE,MLP,SVMSMOTE,Normalizer,COMPLETE
152,0.0,2025-03-18 11:28:52.228389,2025-03-18 11:29:31.178698,0 days 00:00:38.950309,10,RFE,MLP,SVMSMOTE,Normalizer,COMPLETE
153,0.6880767401303409,2025-03-18 11:28:52.451574,2025-03-18 11:30:17.511434,0 days 00:01:25.059860,20,PCA,RF,,MaxAbs,COMPLETE
154,0.6885753984984507,2025-03-18 11:28:52.797142,2025-03-18 11:30:00.586596,0 days 00:01:07.789454,70,RFE,MLP,SVMSMOTE,MaxAbs,COMPLETE
155,0.6880767401303409,2025-03-18 11:28:53.368754,2025-03-18 11:29:52.161562,0 days 00:00:58.792808,30,PCA,MLP,,Robust,COMPLETE
156,0.6893381615819315,2025-03-18 11:28:54.001068,2025-03-18 11:30:05.586641,0 days 00:01:11.585573,30,RFE,MLP,SVMSMOTE,Robust,COMPLETE
157,0.538515621430213,2025-03-18 11:29:02.457857,2025-03-18 11:30:11.281925,0 days 00:01:08.824068,50,PCA,ETs,SMOTE,,COMPLETE
158,0.6854459578621426,2025-03-18 11:29:03.498517,2025-03-18 11:30:03.203401,0 days 00:00:59.704884,50,PCA,ETs,,,COMPLETE
159,0.0,2025-03-18 11:29:08.137771,2025-03-18 11:29:53.492455,0 days 00:00:45.354684,10,RFE,ETs,,Robust,COMPLETE
160,0.6651227413052526,2025-03-18 11:29:09.449315,2025-03-18 11:29:58.266784,0 days 00:00:48.817469,50,PCA,ETs,,Robust,COMPLETE
161,0.6864285360390926,2025-03-18 11:29:11.180107,2025-03-18 11:30:55.694632,0 days 00:01:44.514525,70,ANOVA,DT,SVMSMOTE,QT,COMPLETE
162,0.0,2025-03-18 11:29:13.259385,2025-03-18 11:29:48.927761,0 days 00:00:35.668376,10,ANOVA,ETs,,Robust,COMPLETE
163,0.6880767401303409,2025-03-18 11:29:14.039979,2025-03-18 11:30:15.550186,0 days 00:01:01.510207,20,PCA,ETs,,MaxAbs,COMPLETE
164,0.5687646663731357,2025-03-18 11:29:14.950588,2025-03-18 11:29:51.091840,0 days 00:00:36.141252,50,ANOVA,RF,SMOTE,Robust,COMPLETE
165,0.0,2025-03-18 11:29:16.219531,2025-03-18 11:29:50.686567,0 days 00:00:34.467036,10,PCA,MLP,,,COMPLETE
166,0.533559325282041,2025-03-18 11:29:20.366134,2025-03-18 11:29:54.766672,0 days 00:00:34.400538,50,PCA,ETs,SMOTE,Robust,COMPLETE
167,0.6880767401303409,2025-03-18 11:29:21.109707,2025-03-18 11:30:10.571749,0 days 00:00:49.462042,20,PCA,RF,,,COMPLETE
168,0.5340443436303343,2025-03-18 11:29:22.681142,2025-03-18 11:30:05.956594,0 days 00:00:43.275452,50,PCA,ETs,SMOTE,Robust,COMPLETE
169,0.6880767401303409,2025-03-18 11:29:23.131320,2025-03-18 11:30:10.426768,0 days 00:00:47.295448,20,PCA,ETs,,MaxAbs,COMPLETE
170,0.6880767401303409,2025-03-18 11:29:23.541524,2025-03-18 11:30:05.941851,0 days 00:00:42.400327,20,PCA,ETs,,MaxAbs,COMPLETE
