number,value,datetime_start,datetime_complete,duration,params_model,params_normTechnique,params_sampleTechnique,user_attrs_binIndices,user_attrs_hyperparams,state
2629,0.41935483857440164,2024-07-08 13:12:51.666472,2024-07-08 13:13:22.968475,0 days 00:00:31.302003,BaggingClassifier,Normalize_L1_1,ADASYN,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0]","{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
2630,0.6290322578616024,2024-07-08 13:12:52.125472,2024-07-08 13:13:21.606495,0 days 00:00:29.481023,BaggingClassifier,StandardScaler,,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]","{'n_estimators': 200, 'max_samples': 1.0, 'max_features': 1.0, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
2631,0.7645161287856399,2024-07-08 13:12:53.448472,2024-07-08 13:13:25.683473,0 days 00:00:32.235001,BaggingClassifier,Normalize_L1_1,,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1]","{'n_estimators': 50, 'max_samples': 1.0, 'max_features': 0.1, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
2632,0.45483870953069716,2024-07-08 13:12:54.573478,2024-07-08 13:13:40.160472,0 days 00:00:45.586994,BaggingClassifier,Normalize_L1_1,ADASYN,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]","{'n_estimators': 1000, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
2633,0.7774193545879292,2024-07-08 13:12:56.360476,2024-07-08 13:14:08.473472,0 days 00:01:12.112996,BaggingClassifier,Normalize_L1_1,,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]","{'n_estimators': 1000, 'max_samples': 0.5, 'max_features': 1.0, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
2634,0.5290322578938605,2024-07-08 13:12:57.360475,2024-07-08 13:13:26.068478,0 days 00:00:28.708003,BaggingClassifier,Normalize_L1_1,SMOTEENN,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0]","{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
2635,0.5677419353007284,2024-07-08 13:12:57.848474,2024-07-08 13:13:36.284472,0 days 00:00:38.435998,XGBClassifier,StandardScaler,SMOTEENN,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0]","{'n_estimators': 1000, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.7, 'gamma': 0.1, 'reg_alpha': 0.1, 'reg_lambda': 1.0}",COMPLETE
2636,0.7838709674890738,2024-07-08 13:12:58.744492,2024-07-08 13:13:26.575474,0 days 00:00:27.830982,KNeighborsClassifier,Normalize_L1_1,,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0]","{'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'brute', 'leaf_size': 30, 'p': 2, 'metric': 'manhattan'}",COMPLETE
2637,0.6516129030156087,2024-07-08 13:12:59.100474,2024-07-08 13:13:53.869472,0 days 00:00:54.768998,BaggingClassifier,StandardScaler,,"[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1]","{'n_estimators': 1000, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
2638,0.7580645158844953,2024-07-08 13:12:59.188472,2024-07-08 13:13:50.893479,0 days 00:00:51.705007,BaggingClassifier,Normalize_L1_1,,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]","{'n_estimators': 1000, 'max_samples': 1.0, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
2639,0.7999999997419355,2024-07-08 13:12:59.511478,2024-07-08 13:13:39.747472,0 days 00:00:40.235994,XGBClassifier,Normalize_L1_1,,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]","{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.1, 'reg_alpha': 1.0, 'reg_lambda': 0.1}",COMPLETE
2640,0.5903225804547346,2024-07-08 13:13:00.214480,2024-07-08 13:13:35.750473,0 days 00:00:35.535993,KNeighborsClassifier,Normalize_L1_1,SMOTEENN,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","{'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'ball_tree', 'leaf_size': 60, 'p': 2, 'metric': 'manhattan'}",COMPLETE
2641,0.7774193545879292,2024-07-08 13:13:00.873472,2024-07-08 13:13:25.690473,0 days 00:00:24.817001,BaggingClassifier,StandardScaler,,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]","{'n_estimators': 100, 'max_samples': 0.1, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
2642,0.5870967740041623,2024-07-08 13:13:02.919472,2024-07-08 13:13:29.103474,0 days 00:00:26.184002,KNeighborsClassifier,Normalize_L1_1,SMOTEENN,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","{'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'ball_tree', 'leaf_size': 60, 'p': 2, 'metric': 'euclidean'}",COMPLETE
2643,0.5709677417513007,2024-07-08 13:13:03.258471,2024-07-08 13:13:25.388474,0 days 00:00:22.130003,KNeighborsClassifier,StandardScaler,SMOTEENN,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]","{'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'auto', 'leaf_size': 60, 'p': 1, 'metric': 'minkowski'}",COMPLETE
2644,0.5806451611030177,2024-07-08 13:13:03.446471,2024-07-08 13:13:26.071482,0 days 00:00:22.625011,BaggingClassifier,StandardScaler,SMOTEENN,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1]","{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
2645,0.7645161287856399,2024-07-08 13:13:04.191475,2024-07-08 13:13:24.672473,0 days 00:00:20.480998,BaggingClassifier,Normalize_L1_1,,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","{'n_estimators': 10, 'max_samples': 0.1, 'max_features': 0.5, 'bootstrap': True, 'bootstrap_features': False}",COMPLETE
2646,0.6322580643121748,2024-07-08 13:13:05.239472,2024-07-08 13:13:25.279471,0 days 00:00:20.039999,BaggingClassifier,StandardScaler,,"[1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0]","{'n_estimators': 50, 'max_samples': 1.0, 'max_features': 0.1, 'bootstrap': True, 'bootstrap_features': True}",COMPLETE
2647,0.6290322578616024,2024-07-08 13:13:05.386472,2024-07-08 13:13:31.775471,0 days 00:00:26.388999,XGBClassifier,Normalize_L1_1,SMOTEENN,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'gamma': 0.5, 'reg_alpha': 0.1, 'reg_lambda': 1.0}",COMPLETE
2648,0.7258064513787721,2024-07-08 13:13:05.764472,2024-07-08 13:13:25.692473,0 days 00:00:19.928001,KNeighborsClassifier,StandardScaler,,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1]","{'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'auto', 'leaf_size': 10, 'p': 2, 'metric': 'manhattan'}",COMPLETE
2649,0.6774193546201872,2024-07-08 13:13:06.417476,2024-07-08 13:13:39.739472,0 days 00:00:33.321996,DecisionTreeClassifier,Normalize_L1_1,SMOTE,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]","{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 50, 'max_features': 'sqrt', 'splitter': 'random'}",COMPLETE
2650,0.7967741932913631,2024-07-08 13:13:06.646473,2024-07-08 13:13:36.116476,0 days 00:00:29.470003,DecisionTreeClassifier,Normalize_L1_1,,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1]","{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': None, 'splitter': 'best'}",COMPLETE
2651,0.7935483868407908,2024-07-08 13:13:06.754474,2024-07-08 13:13:36.273473,0 days 00:00:29.518999,XGBClassifier,Normalize_L1_1,,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0]","{'n_estimators': 50, 'learning_rate': 0.01, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'gamma': 0.1, 'reg_alpha': 1.0, 'reg_lambda': 1.0}",COMPLETE
2652,0.6387096772133194,2024-07-08 13:13:07.723473,2024-07-08 13:13:35.512474,0 days 00:00:27.789001,XGBClassifier,Normalize_L1_1,SMOTE,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1]","{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.1, 'reg_alpha': 0.1, 'reg_lambda': 0.0}",COMPLETE
2653,0.7838709674890738,2024-07-08 13:13:13.192473,2024-07-08 13:13:31.654475,0 days 00:00:18.462002,XGBClassifier,Normalize_L1_1,,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","{'n_estimators': 10, 'learning_rate': 0.5, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'gamma': 1.0, 'reg_alpha': 0.1, 'reg_lambda': 0.0}",COMPLETE
2654,0.6677419352684703,2024-07-08 13:13:14.203473,2024-07-08 13:13:41.046474,0 days 00:00:26.843001,XGBClassifier,Normalize_L1_1,SMOTE,"[1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1]","{'n_estimators': 200, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'gamma': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",COMPLETE
2655,0.7483870965327784,2024-07-08 13:13:15.495471,2024-07-08 13:13:36.255476,0 days 00:00:20.760005,XGBClassifier,Normalize_L1_1,,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","{'n_estimators': 100, 'learning_rate': 0.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'gamma': 0.5, 'reg_alpha': 1.0, 'reg_lambda': 0.1}",COMPLETE
2656,0.0,2024-07-08 13:13:15.788477,2024-07-08 13:13:57.846474,0 days 00:00:42.057997,DecisionTreeClassifier,Normalize_L1_1,,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1]","{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'auto', 'splitter': 'best'}",COMPLETE
2657,0.7870967739396462,2024-07-08 13:13:15.916472,2024-07-08 13:13:41.143472,0 days 00:00:25.227000,DecisionTreeClassifier,Normalize_L1_1,,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]","{'max_depth': 200, 'min_samples_split': 100, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'splitter': 'random'}",COMPLETE
2658,0.7838709674890738,2024-07-08 13:13:16.069472,2024-07-08 13:14:05.026471,0 days 00:00:48.956999,AdaBoostClassifier,Normalize_L1_1,,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1]","{'n_estimators': 100, 'learning_rate': 1.0, 'algorithm': 'SAMME.R'}",COMPLETE
2659,0.7838709674890738,2024-07-08 13:13:16.222475,2024-07-08 13:13:44.065477,0 days 00:00:27.843002,XGBClassifier,Normalize_L1_1,,"[0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1]","{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 1.0, 'gamma': 0.0, 'reg_alpha': 0.1, 'reg_lambda': 1.0}",COMPLETE
2660,0.0,2024-07-08 13:13:16.364472,2024-07-08 13:13:57.696474,0 days 00:00:41.332002,SVC,,,,"{'C': 0.01, 'kernel': 'poly', 'degree': 4, 'gamma': '0.01', 'coef0': 0.0, 'shrinking': False, 'probability': True, 'class_weight': 'balanced', 'decision_function_shape': 'ovr'}",COMPLETE
2661,0.6709677417190426,2024-07-08 13:13:16.910473,2024-07-08 13:13:52.235475,0 days 00:00:35.325002,XGBClassifier,Normalize_L1_1,,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]","{'n_estimators': 500, 'learning_rate': 0.5, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.0, 'reg_alpha': 1.0, 'reg_lambda': 1.0}",COMPLETE
2662,0.7709677416867845,2024-07-08 13:13:20.770472,2024-07-08 13:13:34.333473,0 days 00:00:13.563001,XGBClassifier,Normalize_L1_1,,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]","{'n_estimators': 10, 'learning_rate': 0.5, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'gamma': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",COMPLETE
2663,0.7645161287856399,2024-07-08 13:13:21.843480,2024-07-08 13:13:57.443482,0 days 00:00:35.600002,AdaBoostClassifier,Normalize_L1_1,RandomUnderSampler,"[0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0]","{'n_estimators': 10, 'learning_rate': 10.0, 'algorithm': 'SAMME.R'}",COMPLETE
2664,0.754838709433923,2024-07-08 13:13:22.378471,2024-07-08 13:13:44.155474,0 days 00:00:21.777003,XGBClassifier,Normalize_L1_1,,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1]","{'n_estimators': 500, 'learning_rate': 10.0, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'gamma': 0.0, 'reg_alpha': 0.0, 'reg_lambda': 0.1}",COMPLETE
2665,0.5032258062892819,2024-07-08 13:13:22.801473,2024-07-08 13:14:07.457473,0 days 00:00:44.656000,AdaBoostClassifier,Normalize_L1_1,RandomUnderSampler,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0]","{'n_estimators': 500, 'learning_rate': 10.0, 'algorithm': 'SAMME'}",COMPLETE
2666,0.7935483868407908,2024-07-08 13:13:23.071472,2024-07-08 13:13:48.132514,0 days 00:00:25.061042,DecisionTreeClassifier,Normalize_L1_1,,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]","{'max_depth': 500, 'min_samples_split': 2, 'min_samples_leaf': 100, 'max_features': 'log2', 'splitter': 'random'}",COMPLETE
2667,0.7935483868407908,2024-07-08 13:13:23.169474,2024-07-08 13:14:16.251473,0 days 00:00:53.081999,AdaBoostClassifier,Normalize_L1_1,,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","{'n_estimators': 1000, 'learning_rate': 1.0, 'algorithm': 'SAMME'}",COMPLETE
2668,0.7935483868407908,2024-07-08 13:13:23.908474,2024-07-08 13:13:46.535474,0 days 00:00:22.627000,AdaBoostClassifier,Normalize_L1_1,,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","{'n_estimators': 50, 'learning_rate': 1.0, 'algorithm': 'SAMME'}",COMPLETE
2669,0.8032258061925077,2024-07-08 13:13:25.567475,2024-07-08 13:14:06.255474,0 days 00:00:40.687999,BaggingClassifier,Normalize_L1_1,,"[0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]","{'n_estimators': 200, 'max_samples': 0.1, 'max_features': 0.1, 'bootstrap': False, 'bootstrap_features': False}",COMPLETE
2670,0.7935483868407908,2024-07-08 13:13:25.819473,2024-07-08 13:13:50.312474,0 days 00:00:24.493001,AdaBoostClassifier,Normalize_L1_1,,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]","{'n_estimators': 100, 'learning_rate': 0.01, 'algorithm': 'SAMME'}",COMPLETE
2671,0.7935483868407908,2024-07-08 13:13:27.808473,2024-07-08 13:13:50.894482,0 days 00:00:23.086009,AdaBoostClassifier,Normalize_L1_1,,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","{'n_estimators': 200, 'learning_rate': 10.0, 'algorithm': 'SAMME'}",COMPLETE
2672,0.7935483868407908,2024-07-08 13:13:28.194474,2024-07-08 13:13:53.861475,0 days 00:00:25.667001,AdaBoostClassifier,Normalize_L1_1,,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1]","{'n_estimators': 100, 'learning_rate': 1.0, 'algorithm': 'SAMME'}",COMPLETE
2673,0.7741935481373569,2024-07-08 13:13:28.857502,2024-07-08 13:14:06.251475,0 days 00:00:37.393973,BaggingClassifier,Normalize_L1_1,,"[1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'n_estimators': 10, 'max_samples': 0.5, 'max_features': 1.0, 'bootstrap': False, 'bootstrap_features': True}",COMPLETE
2674,0.4451612901789802,2024-07-08 13:13:31.900472,2024-07-08 13:14:10.614473,0 days 00:00:38.714001,AdaBoostClassifier,Normalize_L1_1,RandomUnderSampler,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]","{'n_estimators': 1000, 'learning_rate': 0.01, 'algorithm': 'SAMME.R'}",COMPLETE
