Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity,TP,TN,FP,FN,Model,FS-Percentage,FS-Technique
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,35,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,40,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,45,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,50,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,55,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,60,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,65,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,70,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,75,chi2
,0.2479491948801412,,0.25245901639344265,0.9240411090382341,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.25245901639344265,0.9252459016393443,,0.2524590163934426,,0.25245901639344265,0.9119931830271327,[68  0  4  0 28 27  0 21  0  0  6],[263 541 538 541 504 507 544 534 589 589 494],[278   0   4   0  41  38   0  48   0   0  47],[ 1 69 64 69 37 38 66  7 21 21 63],AdaBoostClassifier,80,chi2
